"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","rt","stimulus","response","part","triad_index","one_key","two_key","three_key","target1","target2","distractor","target1_rank","target2_rank","distractor_rank","target1_choice","target2_choice","distractor_choice","targets_diff","is_blank","actual_choice"
"","","","","","html-keyboard-response","39","305669","0.0-3.0-0.18","01","null","
                    <p class=""options"">
                      <span><span><img src='stimuli\Branflakesextra.png', width=""300"", height=""300""></span></span>
                      <span><span><img src='stimuli\Barackemaybe.png', width=""300"", height=""157.0212765957447""></span></span>
                      <span><span><img src='stimuli\GelDeLin.png', width=""148.94217207334273"", height=""300""></span></span>
                    </p>","null","trinary","","target1","distractor","target2","stimuli\Branflakesextra.png","stimuli\GelDeLin.png","stimuli\Barackemaybe.png","0","9","30","88","61.5","20.5","9","null",""
"","","","","","html-keyboard-response","40","311309","0.0-3.0-1.18","01","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","41","315318","0.0-3.0-0.19","01","null","
                    <p class=""options"">
                      <span><span><img src='stimuli\KifKef.PNG', width=""238.02905874921038"", height=""300""></span></span>
                      <span><span><img src='stimuli\Kikkoman.png', width=""92.43604004449388"", height=""300""></span></span>
                      <span><span><img src='stimuli\ChocolateSpread.png', width=""300"", height=""300""></span></span>
                    </p>","null","trinary","","distractor","target1","target2","stimuli\Kikkoman.png","stimuli\ChocolateSpread.png","stimuli\KifKef.PNG","3","4","18","72","68","54.5","1","null",""
"","","","","","html-keyboard-response","42","321394","0.0-3.0-1.19","01","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","43","325407","0.0-3.0-0.20","01","null","
                    <p class=""options"">
                      <span><span><img src='stimuli\Fitness_Chocolate.png', width=""300"", height=""237.33239237826393""></span></span>
                      <span><span><img src='stimuli\KifKef.PNG', width=""238.02905874921038"", height=""300""></span></span>
                      <span><span><img src='stimuli\Zipperbigbag.png', width=""300"", height=""104.73372781065088""></span></span>
                    </p>","null","trinary","","target1","distractor","target2","stimuli\Fitness_Chocolate.png","stimuli\Zipperbigbag.png","stimuli\KifKef.PNG","2","8","18","78.5","62","54.5","6","null",""
"","","","","","html-keyboard-response","44","331397","0.0-3.0-1.20","01","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","45","335820","0.0-3.0-0.21","01","null","
                    <p class=""options"">
                      <span><span><img src='stimuli\GelDeLin.png', width=""148.94217207334273"", height=""300""></span></span>
                      <span><span><img src='stimuli\Branflakesextra.png', width=""300"", height=""300""></span></span>
                      <span><span><img src='stimuli\KifKef.PNG', width=""238.02905874921038"", height=""300""></span></span>
                    </p>","null","trinary","","target2","target1","distractor","stimuli\Branflakesextra.png","stimuli\GelDeLin.png","stimuli\KifKef.PNG","0","9","18","88","61.5","54.5","9","null",""
"","","","","","html-keyboard-response","46","342829","0.0-3.0-1.21","01","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","47","347827","0.0-3.0-0.22","01","null","
                    <p class=""options"">
                      <span><span><img src='stimuli\Splendid.PNG', width=""174.19354838709677"", height=""300""></span></span>
                      <span><span><img src='stimuli\CocaCola2L.png', width=""300"", height=""300""></span></span>
                      <span><span><img src='stimuli\Kikkoman.png', width=""92.43604004449388"", height=""300""></span></span>
                    </p>","null","trinary","","target2","distractor","target1","stimuli\Kikkoman.png","stimuli\Splendid.PNG","stimuli\CocaCola2L.png","3","6","14","72","65.5","58.5","3","null",""
"","","","","","html-keyboard-response","48","353822","0.0-3.0-1.22","01","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","49","358828","0.0-3.0-0.23","01","null","
                    <p class=""options"">
                      <span><span><img src='stimuli\Tuna_ToGo.png', width=""244.4063143445436"", height=""300""></span></span>
                      <span><span><img src='stimuli\Splendid.PNG', width=""174.19354838709677"", height=""300""></span></span>
                      <span><span><img src='stimuli\Kikkoman.png', width=""92.43604004449388"", height=""300""></span></span>
                    </p>","null","trinary","","distractor","target2","target1","stimuli\Kikkoman.png","stimuli\Splendid.PNG","stimuli\Tuna_ToGo.png","3","6","22","72","65.5","45.5","3","null",""
"","","","","","html-keyboard-response","50","364823","0.0-3.0-1.23","01","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","51","369826","0.0-3.0-0.24","01","null","
                    <p class=""options"">
                      <span><span><img src='stimuli\CocaCola2L.png', width=""300"", height=""300""></span></span>
                      <span><span><img src='stimuli\Sano99.png', width=""287.6470588235294"", height=""300""></span></span>
                      <span><span><img src='stimuli\Zipperbigbag.png', width=""300"", height=""104.73372781065088""></span></span>
                    </p>","null","trinary","","distractor","target1","target2","stimuli\Sano99.png","stimuli\Zipperbigbag.png","stimuli\CocaCola2L.png","1","8","14","78.5","62","58.5","7","null",""
"","","","","","html-keyboard-response","52","376825","0.0-3.0-1.24","01","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","53","381823","0.0-3.0-0.25","01","null","
                    <p class=""options"">
                      <span><span><img src='stimuli\Kikkoman.png', width=""92.43604004449388"", height=""300""></span></span>
                      <span><span><img src='stimuli\Splendid.PNG', width=""174.19354838709677"", height=""300""></span></span>
                      <span><span><img src='stimuli\KifKef.PNG', width=""238.02905874921038"", height=""300""></span></span>
                    </p>","null","trinary","","target1","target2","distractor","stimuli\Kikkoman.png","stimuli\Splendid.PNG","stimuli\KifKef.PNG","3","6","18","72","65.5","54.5","3","null",""
"","","","","","html-keyboard-response","54","387830","0.0-3.0-1.25","01","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","55","392819","0.0-3.0-0.26","01","null","<p class=""options"">
                      <span></span>
                      <span></span>
                      <span></span>
                    </p>","null","trinary","","","","","0","0","0","null","null","null","null","null","null","null","1",""
"","","","","","html-keyboard-response","56","443831","0.0-3.0-1.26","01","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","57","503826","0.0-3.0-0.27","01","null","<p class=""options"">
                      <span></span>
                      <span></span>
                      <span></span>
                    </p>","null","trinary","","","","","0","0","0","null","null","null","null","null","null","null","1",""
"","","","","","html-keyboard-response","58","563815","0.0-3.0-1.27","01","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","59","623821","0.0-3.0-0.28","01","null","
                    <p class=""options"">
                      <span><span><img src='stimuli\Splendid.PNG', width=""174.19354838709677"", height=""300""></span></span>
                      <span><span><img src='stimuli\Kikkoman.png', width=""92.43604004449388"", height=""300""></span></span>
                      <span><span><img src='stimuli\Barackemaybe.png', width=""300"", height=""157.0212765957447""></span></span>
                    </p>","null","trinary","","target2","target1","distractor","stimuli\Kikkoman.png","stimuli\Splendid.PNG","stimuli\Barackemaybe.png","3","6","30","72","65.5","20.5","3","null",""
"","","","","","html-keyboard-response","60","683815","0.0-3.0-1.28","01","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","",""
