success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,rt,stimulus,response,part,triad_index,one_key,two_key,three_key,target1,target2,distractor,target1_rank,target2_rank,distractor_rank,target1_choice,target2_choice,distractor_choice,targets_diff,is_blank,actual_choice,,,FALSE
,,,,,html-keyboard-response,48,259477,0.0-3.0-1.22,105,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,49,260556,0.0-3.0-0.23,105,1074,"
                    <p class=""options"">
                      <span><span><img src='stimuli\FuzeTea.png', width=""149.079754601227"", height=""300""></span></span>
                      <span><span><img src='stimuli\Splendid.PNG', width=""174.19354838709677"", height=""300""></span></span>
                      <span><span><img src='stimuli\GelDeLin.png', width=""148.94217207334273"", height=""300""></span></span>
                    </p>",2,trinary,,distractor,target1,target2,stimuli\Splendid.PNG,stimuli\GelDeLin.png,stimuli\FuzeTea.png,4,7,11,72.66666667,71,70,3,0,target1,,,FALSE
,,,,,html-keyboard-response,50,269531,0.0-3.0-1.23,105,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,51,270724,0.0-3.0-0.24,105,1187,"
                    <p class=""options"">
                      <span><span><img src='stimuli\Sano99.png', width=""287.6470588235294"", height=""300""></span></span>
                      <span><span><img src='stimuli\Barackemaybe.png', width=""300"", height=""157.0212765957447""></span></span>
                      <span><span><img src='stimuli\GelDeLin.png', width=""148.94217207334273"", height=""300""></span></span>
                    </p>",2,trinary,,target2,distractor,target1,stimuli\GelDeLin.png,stimuli\Sano99.png,stimuli\Barackemaybe.png,7,8,19,71,70,56.33333333,1,0,distractor,,,FALSE
,,,,,html-keyboard-response,52,279236,0.0-3.0-1.24,105,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,53,280047,0.0-3.0-0.25,105,804,"
                    <p class=""options"">
                      <span><span><img src='stimuli\ParaChocolate.png', width=""300"", height=""300""></span></span>
                      <span><span><img src='stimuli\Sano99.png', width=""287.6470588235294"", height=""300""></span></span>
                      <span><span><img src='stimuli\GelDeLin.png', width=""148.94217207334273"", height=""300""></span></span>
                    </p>",1,trinary,,distractor,target2,target1,stimuli\GelDeLin.png,stimuli\Sano99.png,stimuli\ParaChocolate.png,7,8,27,71,70,40.33333333,1,0,distractor,,,FALSE
,,,,,html-keyboard-response,54,288887,0.0-3.0-1.25,105,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,55,290490,0.0-3.0-0.26,105,1597,"
                    <p class=""options"">
                      <span><span><img src='stimuli\FuseTeaGreen.png', width=""123.39331619537275"", height=""300""></span></span>
                      <span><span><img src='stimuli\Prince.PNG', width=""291.19638826185104"", height=""300""></span></span>
                      <span><span><img src='stimuli\Barackemaybe.png', width=""300"", height=""157.0212765957447""></span></span>
                    </p>",3,trinary,,target2,target1,distractor,stimuli\Prince.PNG,stimuli\FuseTeaGreen.png,stimuli\Barackemaybe.png,1,10,19,85,70,56.33333333,9,0,distractor,,,FALSE
,,,,,html-keyboard-response,56,298762,0.0-3.0-1.26,105,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,57,299897,0.0-3.0-0.27,105,1129,"
                    <p class=""options"">
                      <span><span><img src='stimuli\Zippersmallbag.png', width=""300"", height=""170.83854818523153""></span></span>
                      <span><span><img src='stimuli\ParaChocolate.png', width=""300"", height=""300""></span></span>
                      <span><span><img src='stimuli\CocaCola2L.png', width=""300"", height=""300""></span></span>
                    </p>",2,trinary,,target1,distractor,target2,stimuli\Zippersmallbag.png,stimuli\CocaCola2L.png,stimuli\ParaChocolate.png,3,9,27,74.33333333,70,40.33333333,6,0,distractor,,,FALSE
,,,,,html-keyboard-response,58,309173,0.0-3.0-1.27,105,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,59,313193,0.0-3.0-0.28,105,null,,null,trinary,,,,,0,0,0,null,null,null,null,null,null,null,1,,,,FALSE
,,,,,html-keyboard-response,60,318910,0.0-3.0-1.28,105,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,,TRUE
